"","Author","n.active","n.sham","male.ratio","age.total","frequency","pulse.width","rms.value","charge.per.session","es","se","stim.type","intervention","sham.strategy","index"
"1","Decouck et al. (2016) #1",30,30,0.5,37,25,250,3.91311896062463e-05,0.0013125,-0.0629216212336809,0.20036824698349,"slow burst","concha","concha","HF"
"2","Decouck et al. (2016) #2",30,30,0.5,37,25,250,3.91311896062463e-05,0.0013125,0.0743972801294683,0.201459438706966,"slow burst","concha","concha","HF"
"3","Ganchrva et al. (2017)",9,9,0.8,51.1,25,250,7.90569415042095e-05,0.00525,-0.920114096613947,0.428420150539054,"continuous","concha","ear","HF"
"4","Borges et al. (2021) #1",42,42,0.428,23.2,25,250,7.43135250139569e-05,0.00141,-0.212612859919154,0.179443634550472,"continuous","concha","ear","HF"
"5","Borges et al. (2021) #2",42,42,0.428,23.2,25,250,0.000172344132479177,0.00327,-0.160066507686287,0.180471169832975,"continuous","tragus","ear","HF"
"6","Gauthey et al. (2020) #1",28,28,1,27,5,200,3.79473319220205e-05,0.00072,0.1359788799094,0.207535968136202,"continuous","concha","ear","HF"
"7","Gauthey et al. (2020) #2",28,28,1,27,20,200,0.000388908729652601,0.0165,0.307517744221367,0.20925193076131,"continuous","concha","ear","HF"
"8","Geng er al. (2022)",14,14,0.5714,23.42,20,250,0.000174284250579334,0.02025,0.654567723108118,0.311642189323898,"continuous","tragus","ear","HF"
"9","Shen et al. (2021) #1",42,42,0.476,21.67,500,500,0.000223606797749979,0.0225,-0.00732811262769705,0.169146202459885,"slow burst","concha","concha","HF"
"10","Shen et al. (2021) #2",42,42,0.476,21.67,25,500,0.000223606797749979,0.0225,-0.105044554338936,0.169230165017959,"continuous","concha","concha","HF"
"11","Zhu et al. (2022)",21,21,0.619,28.2,25,500,7.07106781186548e-05,0.009,0.641296355827165,0.258717579795366,"burst","concha","other","HF"
